Id,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
105,Jan,1,Tuesday,Pontiac,Urban,Thursday,Jan,1,Male,Single,31,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,105,12,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
106,Dec,3,Friday,Dodge,Urban,Saturday,Dec,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,106,5,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Liability
107,Aug,1,Monday,Mazda,Urban,Thursday,Aug,1,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,107,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
108,Nov,4,Sunday,Pontiac,Urban,Thursday,Apr,2,Male,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,108,11,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
109,Jun,1,Thursday,Chevrolet,Urban,Thursday,Oct,4,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,109,1,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
110,Mar,1,Thursday,Honda,Urban,Friday,Mar,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,110,16,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
111,May,2,Tuesday,Toyota,Urban,Friday,Sep,1,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,111,4,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
112,May,2,Monday,Pontiac,Urban,Thursday,May,2,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,112,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
113,Nov,4,Thursday,Honda,Urban,Thursday,Dec,5,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,113,9,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
114,Nov,4,Thursday,Accura,Rural,Tuesday,Jan,2,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,1,114,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
115,Dec,4,Monday,Chevrolet,Urban,Wednesday,Jan,1,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,115,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
116,Dec,2,Tuesday,Honda,Urban,Wednesday,Jan,2,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,0,116,2,400,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
117,Nov,5,Tuesday,Pontiac,Urban,Tuesday,Nov,5,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,117,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,1994,Collision
118,Aug,2,Monday,Pontiac,Urban,Tuesday,Aug,5,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,118,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
119,Nov,5,Monday,Mazda,Urban,Wednesday,Dec,1,Male,Single,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,119,9,400,3,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
120,Dec,1,Friday,Honda,Rural,Friday,Dec,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,120,7,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
121,Feb,1,Friday,Honda,Rural,Friday,Mar,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,121,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
122,Oct,2,Wednesday,Honda,Rural,Monday,Oct,3,Female,Married,18,Third Party,Sport - Collision,Sport,more than 69000,0,122,12,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
123,Jun,3,Monday,Pontiac,Urban,Monday,Jun,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,123,2,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
124,Apr,4,Tuesday,Honda,Urban,Tuesday,Apr,4,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,124,1,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,1994,Collision
125,Feb,2,Sunday,Toyota,Urban,Monday,Feb,2,Male,Single,22,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,125,6,400,3,more than 30,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
126,Feb,2,Saturday,Pontiac,Urban,Monday,Feb,2,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,126,16,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
127,Jan,4,Saturday,Dodge,Urban,Monday,Mar,1,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,127,15,400,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,1994,Collision
128,Jan,4,Sunday,Mazda,Urban,Tuesday,Jan,5,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,128,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
129,Jan,4,Sunday,Chevrolet,Rural,Monday,Jan,4,Male,Married,27,Third Party,Sedan - Liability,Sport,30000 to 39000,0,129,9,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,1994,Liability
130,Nov,4,Monday,Honda,Urban,Tuesday,Nov,4,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,130,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
131,Jul,2,Friday,Pontiac,Urban,Friday,Jul,2,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,131,10,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
132,Apr,4,Thursday,Honda,Urban,Friday,Apr,4,Male,Single,18,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,132,14,400,3,more than 30,more than 30,none,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,1994,Collision
133,Oct,3,Thursday,Pontiac,Urban,Thursday,Oct,4,Male,Married,60,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,133,6,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
134,Oct,3,Friday,Ford,Urban,Friday,Oct,3,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,134,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
135,Apr,1,Tuesday,Honda,Urban,Friday,Apr,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,135,16,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
136,Mar,2,Sunday,Pontiac,Urban,Monday,Mar,2,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,136,6,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
137,Mar,2,Monday,Toyota,Urban,Tuesday,Mar,4,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,137,9,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
138,Feb,4,Monday,Toyota,Urban,Wednesday,Mar,1,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,138,9,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
139,Dec,4,Wednesday,Mercury,Urban,Thursday,Jan,1,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,139,2,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
140,Oct,5,Friday,Toyota,Urban,Friday,Feb,1,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,140,9,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
141,Jul,3,Monday,Honda,Urban,Tuesday,Jul,3,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,0,141,11,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
142,Jun,4,Monday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,142,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
143,Feb,5,Monday,Chevrolet,Urban,Friday,Mar,1,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,143,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,Internal,3 to 5,no change,5 to 8,1994,Liability
144,Feb,3,Thursday,Toyota,Urban,Friday,Feb,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,144,8,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
145,Feb,3,Wednesday,Toyota,Rural,Friday,Feb,4,Male,Single,25,Third Party,Sedan - Liability,Sport,20000 to 29000,0,145,1,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
146,Nov,1,Thursday,Mazda,Urban,Friday,Nov,1,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,146,6,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
147,Sep,3,Saturday,Mazda,Urban,Tuesday,Sep,3,Male,Single,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,147,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
148,Dec,1,Monday,Toyota,Rural,Tuesday,May,3,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,148,1,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,under 6 months,2 vehicles,1994,All Perils
149,Jun,1,Tuesday,Accura,Urban,Thursday,Jun,2,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,149,13,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
150,May,4,Monday,Mazda,Urban,Monday,May,4,Male,Widow,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,150,15,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
151,Jan,2,Monday,Pontiac,Urban,Friday,Jan,2,Female,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,151,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
152,Jan,2,Tuesday,Pontiac,Urban,Tuesday,Jan,2,Male,Single,23,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,152,8,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
153,Jan,2,Tuesday,Pontiac,Urban,Friday,Jan,2,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,153,10,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
154,Sep,4,Tuesday,Honda,Urban,Monday,Oct,1,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,154,2,500,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,All Perils
155,Jan,5,Saturday,Honda,Urban,Monday,Jan,5,Female,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,155,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
156,Jan,5,Sunday,Accura,Urban,Tuesday,Feb,1,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,156,6,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
157,Jan,5,Monday,Mazda,Urban,Thursday,Feb,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,157,13,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
158,Jan,4,Wednesday,Chevrolet,Urban,Tuesday,Feb,4,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,158,13,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
159,Jan,5,Saturday,Honda,Urban,Wednesday,Feb,1,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,159,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
160,Jan,5,Friday,Honda,Urban,Friday,Jan,5,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,160,5,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
161,Dec,2,Friday,Chevrolet,Urban,Friday,Jan,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,161,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
162,Jan,4,Tuesday,Honda,Urban,Wednesday,Jan,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,162,3,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
163,Jan,4,Friday,Chevrolet,Urban,Wednesday,Jan,4,Female,Single,37,Third Party,Sedan - Liability,Sport,more than 69000,0,163,5,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
164,Jan,4,Friday,Toyota,Urban,Thursday,Jan,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,less than 20000,0,164,3,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
165,Jan,2,Wednesday,Toyota,Urban,Monday,Jan,4,Female,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,165,14,400,1,more than 30,more than 30,more than 4,4 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision
166,Jan,2,Thursday,Toyota,Urban,Thursday,Jan,2,Male,Married,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,166,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
167,Jan,3,Friday,Honda,Urban,Monday,Jan,3,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,167,8,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
168,Oct,2,Saturday,Toyota,Urban,Monday,Oct,2,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,168,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
169,May,4,Friday,Nisson,Rural,Wednesday,Jul,2,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,169,6,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
170,May,3,Thursday,Honda,Urban,Monday,May,4,Male,Married,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,170,7,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
171,Mar,4,Friday,Pontiac,Urban,Wednesday,Mar,5,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,171,2,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
172,Mar,1,Saturday,Mazda,Urban,Monday,Mar,3,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,172,7,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
173,Feb,2,Monday,VW,Urban,Tuesday,Feb,4,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,173,2,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
174,Feb,2,Monday,Toyota,Urban,Monday,Feb,2,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,174,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
175,Feb,1,Monday,Honda,Urban,Tuesday,Feb,2,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,175,14,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
176,Feb,1,Sunday,Chevrolet,Urban,Thursday,Feb,2,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,176,1,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
177,Feb,2,Tuesday,Saab,Urban,Wednesday,Feb,2,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,177,1,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
178,Jan,5,Tuesday,Honda,Urban,Wednesday,Feb,1,Female,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,178,16,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
179,Jan,3,Sunday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,179,5,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
180,Jan,3,Saturday,Mercury,Rural,Tuesday,Jan,3,Male,Married,53,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,180,12,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
181,Jan,3,Monday,Ford,Urban,Tuesday,Jan,3,Male,Married,74,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,181,8,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
182,Jun,3,Tuesday,Pontiac,Urban,Thursday,Jul,4,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,182,3,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
183,Jun,2,Thursday,Mazda,Urban,Friday,Jun,2,Male,Single,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,183,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1994,All Perils
184,Dec,2,Sunday,Toyota,Urban,Tuesday,Feb,1,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,184,7,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
185,Jan,1,Sunday,Chevrolet,Urban,Tuesday,Jan,1,Female,Single,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,185,2,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
186,Jan,1,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,186,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
187,Jan,1,Monday,Honda,Urban,Wednesday,Jan,2,Male,Single,0,Third Party,Sedan - Liability,Sport,more than 69000,0,187,8,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
188,Dec,5,Thursday,Pontiac,Urban,Friday,Jan,2,Male,Married,54,Third Party,Sedan - Liability,Sport,20000 to 29000,0,188,10,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
189,Jan,1,Saturday,Chevrolet,Urban,Monday,Jan,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,189,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
190,Dec,2,Monday,Mazda,Urban,Monday,Jan,1,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,190,10,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,All Perils
